coicop18,geo,OBS_VALUE,coicop_description,HICP_2017,consumption,Date
CP0126,IS,143.92,Soft drinks (ND),99.28,0.7,01/05/2026
CP0126,LU,122.42,Soft drinks (ND),102.74,0.7,01/05/2026
CP0126,SK,201.3,Soft drinks (ND),100,20,01/05/2026
CP0126,SI,159.48,Soft drinks (ND),102.04,9.4,01/05/2026
CP0126,SE,125.83,Soft drinks (ND),100.8,33.9,01/05/2026
CP0126,RO,193.24,Soft drinks (ND),97.16,46.6,01/05/2026
CP0126,PT,135.21,Soft drinks (ND),124.16,24.8,01/05/2026
CP0126,PL,166.6,Soft drinks (ND),97.48,141.6,01/05/2026
CP0126,NL,147.88,Soft drinks (ND),106.09,62.3,01/05/2026
CP0126,MT,145.06,Soft drinks (ND),108.02,2.4,01/05/2026
CP0126,MK,104.33,Soft drinks (ND),98.1,6.5,01/05/2026
CP0126,LV,168.2,Soft drinks (ND),101.33,4.8,01/05/2026
CP0126,LT,189.51,Soft drinks (ND),108,6.9,01/05/2026
CP0126,IT,130,Soft drinks (ND),98.9,140.9,01/05/2026
CP0126,IE,140.61,Soft drinks (ND),97.4,12.2,01/05/2026
CP0126,HU,209.93,Soft drinks (ND),102.97,19.7,01/05/2026
CP0126,HR,155.35,Soft drinks (ND),104.49,12.2,01/05/2026
CP0126,FR,146.89,Soft drinks (ND),100.49,210.4,01/05/2026
CP0126,FI,141.01,Soft drinks (ND),98.45,17.1,01/05/2026
CP0126,ES,153.22,Soft drinks (ND),103.14,102.4,01/05/2026
CP0126,EL,123.3,Soft drinks (ND),99.88,24.1,01/05/2026
CP0126,EE,171.04,Soft drinks (ND),105.85,5.4,01/05/2026
CP0126,DK,114.63,Soft drinks (ND),96.91,20.8,01/05/2026
CP0126,DE,154.74,Soft drinks (ND),101.99,244.7,01/05/2026
CP0126,CZ,139.28,Soft drinks (ND),96.29,40.5,01/05/2026
CP0126,CY,130.7,Soft drinks (ND),88.07,2.5,01/05/2026
CP0126,CH,107.51,Soft drinks (ND),98.39,25.7,01/05/2026
CP0126,BG,162.6,Soft drinks (ND),102.65,22.2,01/05/2026
CP0126,BE,138.37,Soft drinks (ND),104.96,50.8,01/05/2026
CP0126,AT,155.18,Soft drinks (ND),105.44,27.8,01/05/2026
CP01260,AT,155.18,Soft drinks (ND),105.44,27.8,01/05/2026
CP01260,BE,138.37,Soft drinks (ND),104.96,50.8,01/05/2026
CP01260,BG,162.6,Soft drinks (ND),102.65,22.2,01/05/2026
CP01260,CH,107.51,Soft drinks (ND),98.39,25.7,01/05/2026
CP01260,CY,130.7,Soft drinks (ND),88.07,2.5,01/05/2026
CP01260,CZ,139.28,Soft drinks (ND),96.29,40.5,01/05/2026
CP01260,DE,154.74,Soft drinks (ND),101.99,244.7,01/05/2026
CP01260,DK,114.63,Soft drinks (ND),96.91,20.8,01/05/2026
CP01260,EE,171.04,Soft drinks (ND),105.85,5.4,01/05/2026
CP01260,EL,123.3,Soft drinks (ND),99.88,24.1,01/05/2026
CP01260,ES,153.22,Soft drinks (ND),103.14,102.4,01/05/2026
CP01260,FI,141.01,Soft drinks (ND),98.45,17.1,01/05/2026
CP01260,FR,146.89,Soft drinks (ND),100.49,210.4,01/05/2026
CP01260,HR,155.35,Soft drinks (ND),104.49,12.2,01/05/2026
CP01260,HU,209.93,Soft drinks (ND),102.97,19.7,01/05/2026
CP01260,IE,140.61,Soft drinks (ND),97.4,12.2,01/05/2026
CP01260,IT,130,Soft drinks (ND),98.9,140.9,01/05/2026
CP01260,LT,189.51,Soft drinks (ND),108,6.9,01/05/2026
CP01260,LV,168.2,Soft drinks (ND),101.33,4.8,01/05/2026
CP01260,MK,104.33,Soft drinks (ND),98.1,6.5,01/05/2026
CP01260,MT,145.06,Soft drinks (ND),108.02,2.4,01/05/2026
CP01260,NL,147.88,Soft drinks (ND),106.09,62.3,01/05/2026
CP01260,PL,166.6,Soft drinks (ND),97.48,141.6,01/05/2026
CP01260,PT,135.21,Soft drinks (ND),124.16,24.8,01/05/2026
CP01260,RO,193.24,Soft drinks (ND),97.16,46.6,01/05/2026
CP01260,SE,125.83,Soft drinks (ND),100.8,33.9,01/05/2026
CP01260,SI,159.48,Soft drinks (ND),102.04,9.4,01/05/2026
CP01260,SK,201.3,Soft drinks (ND),100,20,01/05/2026
CP01260,LU,122.42,Soft drinks (ND),102.74,0.7,01/05/2026
CP01260,IS,143.92,Soft drinks (ND),99.28,0.7,01/05/2026
CP01,GB,144.7,Food and non-alcoholic beverages,100.6,131.1,01/05/2026
CP01,SK,168.69,Food and non-alcoholic beverages,102.43,20,01/05/2026
CP01,SI,150.48,Food and non-alcoholic beverages,103.16,9.4,01/05/2026
CP01,SE,140.22,Food and non-alcoholic beverages,103.68,33.9,01/05/2026
CP01,RO,184.6,Food and non-alcoholic beverages,100.77,46.6,01/05/2026
CP01,PT,142.78,Food and non-alcoholic beverages,102.29,24.8,01/05/2026
CP01,PL,176.83,Food and non-alcoholic beverages,105.05,141.6,01/05/2026
CP01,NL,145.03,Food and non-alcoholic beverages,104.09,62.3,01/05/2026
CP01,MT,156.15,Food and non-alcoholic beverages,104.83,2.4,01/05/2026
CP01,MK,161.98,Food and non-alcoholic beverages,100,6.5,01/05/2026
CP01,LV,174.6,Food and non-alcoholic beverages,106.6,4.8,01/05/2026
CP01,LT,175.91,Food and non-alcoholic beverages,105.92,6.9,01/05/2026
CP01,IT,138.8,Food and non-alcoholic beverages,102.3,140.9,01/05/2026
CP01,IE,117.49,Food and non-alcoholic beverages,96.63,12.2,01/05/2026
CP01,HU,201.91,Food and non-alcoholic beverages,103.2,19.7,01/05/2026
CP01,HR,155.14,Food and non-alcoholic beverages,102.59,12.2,01/05/2026
CP01,FR,137.04,Food and non-alcoholic beverages,102.08,210.4,01/05/2026
CP01,FI,129.1,Food and non-alcoholic beverages,98.02,17.1,01/05/2026
CP01,ES,148.92,Food and non-alcoholic beverages,103.72,102.4,01/05/2026
CP01,EL,139.2,Food and non-alcoholic beverages,99.61,24.1,01/05/2026
CP01,EE,180.52,Food and non-alcoholic beverages,106.51,5.4,01/05/2026
CP01,DK,135.53,Food and non-alcoholic beverages,103.7,20.8,01/05/2026
CP01,DE,153.08,Food and non-alcoholic beverages,104.3,244.7,01/05/2026
CP01,CZ,151.49,Food and non-alcoholic beverages,106.17,40.5,01/05/2026
CP01,CY,131.58,Food and non-alcoholic beverages,99.45,2.5,01/05/2026
CP01,CH,106.17,Food and non-alcoholic beverages,101.39,25.7,01/05/2026
CP01,BG,187.75,Food and non-alcoholic beverages,103.75,22.2,01/05/2026
CP01,BE,140.49,Food and non-alcoholic beverages,102.56,50.8,01/05/2026
CP01,AT,145.02,Food and non-alcoholic beverages,103.96,27.8,01/05/2026
CP01,IS,157.56,Food and non-alcoholic beverages,98.8,0.7,01/05/2026
CP01,LU,140.31,Food and non-alcoholic beverages,104.65,0.7,01/05/2026
CP01113,LU,149.97,Bread and bakery products (ND),105.29,0.7,01/05/2026
CP01113,IS,155.11,Bread and bakery products (ND),99.68,0.7,01/05/2026
CP01113,GB,140.5,Bread and bakery products (ND),102.9,131.1,01/05/2026
CP01113,SK,179.81,Bread and bakery products (ND),100.29,20,01/05/2026
CP01113,SI,139.44,Bread and bakery products (ND),99.69,9.4,01/05/2026
CP01113,SE,124.29,Bread and bakery products (ND),100.37,33.9,01/05/2026
CP01113,RO,193.92,Bread and bakery products (ND),101.82,46.6,01/05/2026
CP01113,PT,139.3,Bread and bakery products (ND),99.01,24.8,01/05/2026
CP01113,PL,201.85,Bread and bakery products (ND),103.93,141.6,01/05/2026
CP01113,NL,139.38,Bread and bakery products (ND),101.86,62.3,01/05/2026
CP01113,MT,164.17,Bread and bakery products (ND),104.08,2.4,01/05/2026
CP01113,MK,172.74,Bread and bakery products (ND),99.47,6.5,01/05/2026
CP01113,LV,181.87,Bread and bakery products (ND),102.59,4.8,01/05/2026
CP01113,LT,173.77,Bread and bakery products (ND),102.93,6.9,01/05/2026
CP01113,IT,130.3,Bread and bakery products (ND),100.8,140.9,01/05/2026
CP01113,IE,122.27,Bread and bakery products (ND),96.38,12.2,01/05/2026
CP01113,HU,241.32,Bread and bakery products (ND),104.96,19.7,01/05/2026
CP01113,HR,163.3,Bread and bakery products (ND),99.9,12.2,01/05/2026
CP01113,FR,128.49,Bread and bakery products (ND),100.97,210.4,01/05/2026
CP01113,FI,123.04,Bread and bakery products (ND),99.48,17.1,01/05/2026
CP01113,ES,136.04,Bread and bakery products (ND),100.19,102.4,01/05/2026
CP01113,EL,129,Bread and bakery products (ND),98.85,24.1,01/05/2026
CP01113,EE,175.66,Bread and bakery products (ND),105.53,5.4,01/05/2026
CP01113,DK,140.55,Bread and bakery products (ND),103.84,20.8,01/05/2026
CP01113,DE,154.95,Bread and bakery products (ND),101.97,244.7,01/05/2026
CP01113,CZ,159.28,Bread and bakery products (ND),106.68,40.5,01/05/2026
CP01113,CY,127.17,Bread and bakery products (ND),98.39,2.5,01/05/2026
CP01113,CH,106.86,Bread and bakery products (ND),99.42,25.7,01/05/2026
CP01113,BG,213.94,Bread and bakery products (ND),103.18,22.2,01/05/2026
CP01113,BE,143.69,Bread and bakery products (ND),103.27,50.8,01/05/2026
CP01113,AT,152.33,Bread and bakery products (ND),105.09,27.8,01/05/2026
CP01181,AT,148.14,Cane sugar and beet sugar (ND),95.24,27.8,01/05/2026
CP01181,BE,132.74,Cane sugar and beet sugar (ND),96.54,50.8,01/05/2026
CP01181,BG,150.99,Cane sugar and beet sugar (ND),116.52,22.2,01/05/2026
CP01181,CH,115.24,Cane sugar and beet sugar (ND),98.78,25.7,01/05/2026
CP01181,CY,104.04,Cane sugar and beet sugar (ND),95.81,2.5,01/05/2026
CP01181,CZ,106.65,Cane sugar and beet sugar (ND),113.94,40.5,01/05/2026
CP01181,DE,139.65,Cane sugar and beet sugar (ND),99.51,244.7,01/05/2026
CP01181,DK,118.29,Cane sugar and beet sugar (ND),102.16,20.8,01/05/2026
CP01181,EE,146.8,Cane sugar and beet sugar (ND),130.52,5.4,01/05/2026
CP01181,EL,93.24,Cane sugar and beet sugar (ND),101.43,24.1,01/05/2026
CP01181,ES,134.74,Cane sugar and beet sugar (ND),98.18,102.4,01/05/2026
CP01181,FI,126.75,Cane sugar and beet sugar (ND),97.54,17.1,01/05/2026
CP01181,FR,138.43,Cane sugar and beet sugar (ND),94.82,210.4,01/05/2026
CP01181,HR,141.99,Cane sugar and beet sugar (ND),111.12,12.2,01/05/2026
CP01181,HU,183.15,Cane sugar and beet sugar (ND),122.75,19.7,01/05/2026
CP01181,IE,145.26,Cane sugar and beet sugar (ND),102.3,12.2,01/05/2026
CP01181,IT,129.8,Cane sugar and beet sugar (ND),98.5,140.9,01/05/2026
CP01181,LT,124.29,Cane sugar and beet sugar (ND),106.04,6.9,01/05/2026
CP01181,LV,110.69,Cane sugar and beet sugar (ND),99.75,4.8,01/05/2026
CP01181,MK,145.97,Cane sugar and beet sugar (ND),118.75,6.5,01/05/2026
CP01181,MT,111.05,Cane sugar and beet sugar (ND),96.71,2.4,01/05/2026
CP01181,NL,148.05,Cane sugar and beet sugar (ND),101.8,62.3,01/05/2026
CP01181,PL,119.81,Cane sugar and beet sugar (ND),128.81,141.6,01/05/2026
CP01181,PT,134.71,Cane sugar and beet sugar (ND),103.56,24.8,01/05/2026
CP01181,RO,157.12,Cane sugar and beet sugar (ND),107.94,46.6,01/05/2026
CP01181,SE,144.73,Cane sugar and beet sugar (ND),97.82,33.9,01/05/2026
CP01181,SI,111.85,Cane sugar and beet sugar (ND),98.85,9.4,01/05/2026
CP01181,SK,181.84,Cane sugar and beet sugar (ND),115.69,20,01/05/2026
CP01181,GB,170.8,Cane sugar and beet sugar (ND),104.1,131.1,01/05/2026
CP01181,LU,144.29,Cane sugar and beet sugar (ND),110.71,0.7,01/05/2026
CP01181,IS,126.93,Cane sugar and beet sugar (ND),88.77,0.7,01/05/2026
CP01114,IS,125.71,Breakfast cereals (ND),84.55,0.7,01/05/2026
CP01114,LU,126.56,Breakfast cereals (ND),99.53,0.7,01/05/2026
CP01114,GB,157.5,Breakfast cereals (ND),104.1,131.1,01/05/2026
CP01114,SK,176.89,Breakfast cereals (ND),101.79,20,01/05/2026
CP01114,SI,125.48,Breakfast cereals (ND),100.35,9.4,01/05/2026
CP01114,SE,133.98,Breakfast cereals (ND),104.68,33.9,01/05/2026
CP01114,RO,165.43,Breakfast cereals (ND),98.52,46.6,01/05/2026
CP01114,PT,128.52,Breakfast cereals (ND),97.27,24.8,01/05/2026
CP01114,PL,164.3,Breakfast cereals (ND),99.62,141.6,01/05/2026
CP01114,NL,132.33,Breakfast cereals (ND),99.28,62.3,01/05/2026
CP01114,MT,125.76,Breakfast cereals (ND),100.58,2.4,01/05/2026
CP01114,MK,172.71,Breakfast cereals (ND),102.98,6.5,01/05/2026
CP01114,LV,180.29,Breakfast cereals (ND),97.96,4.8,01/05/2026
CP01114,LT,172,Breakfast cereals (ND),102.75,6.9,01/05/2026
CP01114,IT,112.3,Breakfast cereals (ND),97.3,140.9,01/05/2026
CP01114,IE,103.46,Breakfast cereals (ND),92.41,12.2,01/05/2026
CP01114,HU,199.22,Breakfast cereals (ND),107.26,19.7,01/05/2026
CP01114,HR,159.58,Breakfast cereals (ND),103.68,12.2,01/05/2026
CP01114,FR,122.62,Breakfast cereals (ND),97.65,210.4,01/05/2026
CP01114,FI,123.19,Breakfast cereals (ND),98.16,17.1,01/05/2026
CP01114,ES,135.36,Breakfast cereals (ND),100.46,102.4,01/05/2026
CP01114,EL,118.57,Breakfast cereals (ND),108.12,24.1,01/05/2026
CP01114,EE,152.08,Breakfast cereals (ND),105.07,5.4,01/05/2026
CP01114,DK,132.64,Breakfast cereals (ND),102.65,20.8,01/05/2026
CP01114,DE,136.06,Breakfast cereals (ND),102.18,244.7,01/05/2026
CP01114,CZ,124.65,Breakfast cereals (ND),104.02,40.5,01/05/2026
CP01114,CY,111.67,Breakfast cereals (ND),90.91,2.5,01/05/2026
CP01114,CH,109.14,Breakfast cereals (ND),100.16,25.7,01/05/2026
CP01114,BG,135.46,Breakfast cereals (ND),98.58,22.2,01/05/2026
CP01114,BE,117.51,Breakfast cereals (ND),95.44,50.8,01/05/2026
CP01114,AT,118.44,Breakfast cereals (ND),99.68,27.8,01/05/2026
CP012,SE,148.99,Non-alcoholic beverages,103.1,33.9,01/05/2026
CP012,ES,154.01,Non-alcoholic beverages,103.1,102.4,01/05/2026
CP012,AT,158.09,Non-alcoholic beverages,104.55,27.8,01/05/2026
CP012,BE,138.89,Non-alcoholic beverages,103.96,50.8,01/05/2026
CP012,BG,171.96,Non-alcoholic beverages,104.47,22.2,01/05/2026
CP012,CH,108.05,Non-alcoholic beverages,98.58,25.7,01/05/2026
CP012,CY,131.55,Non-alcoholic beverages,94.02,2.5,01/05/2026
CP012,CZ,143.84,Non-alcoholic beverages,102.45,40.5,01/05/2026
CP012,DE,151.27,Non-alcoholic beverages,101.45,244.7,01/05/2026
CP012,DK,127.59,Non-alcoholic beverages,99.9,20.8,01/05/2026
CP012,EE,179.89,Non-alcoholic beverages,104.02,5.4,01/05/2026
CP012,EL,134.47,Non-alcoholic beverages,104.14,24.1,01/05/2026
CP012,FI,159.55,Non-alcoholic beverages,100.36,17.1,01/05/2026
CP012,FR,137.09,Non-alcoholic beverages,100.11,210.4,01/05/2026
CP012,HR,163.9,Non-alcoholic beverages,105.02,12.2,01/05/2026
CP012,HU,202.53,Non-alcoholic beverages,103.51,19.7,01/05/2026
CP012,IT,136.7,Non-alcoholic beverages,99.8,140.9,01/05/2026
CP012,LT,164.65,Non-alcoholic beverages,103.68,6.9,01/05/2026
CP012,LV,174.96,Non-alcoholic beverages,99.55,4.8,01/05/2026
CP012,MK,145.9,Non-alcoholic beverages,103.07,6.5,01/05/2026
CP012,MT,139.86,Non-alcoholic beverages,106.75,2.4,01/05/2026
CP012,NL,157.7,Non-alcoholic beverages,104.53,62.3,01/05/2026
CP012,PL,165.08,Non-alcoholic beverages,100.96,141.6,01/05/2026
CP012,PT,137.79,Non-alcoholic beverages,107.98,24.8,01/05/2026
CP012,SI,156.22,Non-alcoholic beverages,102.94,9.4,01/05/2026
CP012,SK,170.22,Non-alcoholic beverages,101.36,20,01/05/2026
CP012,GB,149.9,Non-alcoholic beverages,98.1,131.1,01/05/2026
CP012,LU,133.72,Non-alcoholic beverages,103.37,0.7,01/05/2026
CP012,IS,145.1,Non-alcoholic beverages,96.45,0.7,01/05/2026
CP012,RO,183.11,Non-alcoholic beverages,96.89,46.6,01/05/2026
CP012,IE,122.2,Non-alcoholic beverages,96.89,12.2,01/05/2026
CP01185,CZ,166.89,"Chocolate, cocoa and cocoa-based food products (ND)",103.53,40.5,01/05/2026
CP01185,SK,148.64,"Chocolate, cocoa and cocoa-based food products (ND)",103.53,20,01/05/2026
CP01185,AT,148.23,"Chocolate, cocoa and cocoa-based food products (ND)",103.85,27.8,01/05/2026
CP01185,BE,151.13,"Chocolate, cocoa and cocoa-based food products (ND)",100.32,50.8,01/05/2026
CP01185,BG,204.43,"Chocolate, cocoa and cocoa-based food products (ND)",106.18,22.2,01/05/2026
CP01185,CH,122.96,"Chocolate, cocoa and cocoa-based food products (ND)",100.11,25.7,01/05/2026
CP01185,CY,152.96,"Chocolate, cocoa and cocoa-based food products (ND)",105.56,2.5,01/05/2026
CP01185,DE,174.69,"Chocolate, cocoa and cocoa-based food products (ND)",102.49,244.7,01/05/2026
CP01185,DK,153.51,"Chocolate, cocoa and cocoa-based food products (ND)",103.39,20.8,01/05/2026
CP01185,EE,216.75,"Chocolate, cocoa and cocoa-based food products (ND)",107.73,5.4,01/05/2026
CP01185,EL,163.11,"Chocolate, cocoa and cocoa-based food products (ND)",106.5,24.1,01/05/2026
CP01185,ES,166.41,"Chocolate, cocoa and cocoa-based food products (ND)",102.71,102.4,01/05/2026
CP01185,FI,150.38,"Chocolate, cocoa and cocoa-based food products (ND)",91.44,17.1,01/05/2026
CP01185,FR,154.64,"Chocolate, cocoa and cocoa-based food products (ND)",101.98,210.4,01/05/2026
CP01185,HR,163.16,"Chocolate, cocoa and cocoa-based food products (ND)",99.06,12.2,01/05/2026
CP01185,HU,198.76,"Chocolate, cocoa and cocoa-based food products (ND)",101.62,19.7,01/05/2026
CP01185,IE,115.27,"Chocolate, cocoa and cocoa-based food products (ND)",90.04,12.2,01/05/2026
CP01185,IT,124.4,"Chocolate, cocoa and cocoa-based food products (ND)",102.8,140.9,01/05/2026
CP01185,LT,181.27,"Chocolate, cocoa and cocoa-based food products (ND)",103.49,6.9,01/05/2026
CP01185,LV,191.68,"Chocolate, cocoa and cocoa-based food products (ND)",107,4.8,01/05/2026
CP01185,MK,173.77,"Chocolate, cocoa and cocoa-based food products (ND)",99.35,6.5,01/05/2026
CP01185,MT,192.47,"Chocolate, cocoa and cocoa-based food products (ND)",103.86,2.4,01/05/2026
CP01185,NL,160.13,"Chocolate, cocoa and cocoa-based food products (ND)",101.13,62.3,01/05/2026
CP01185,PL,213.12,"Chocolate, cocoa and cocoa-based food products (ND)",103.35,141.6,01/05/2026
CP01185,PT,143.01,"Chocolate, cocoa and cocoa-based food products (ND)",99.98,24.8,01/05/2026
CP01185,RO,227.25,"Chocolate, cocoa and cocoa-based food products (ND)",98,46.6,01/05/2026
CP01185,SE,169.98,"Chocolate, cocoa and cocoa-based food products (ND)",99.41,33.9,01/05/2026
CP01185,SI,124.29,"Chocolate, cocoa and cocoa-based food products (ND)",105.03,9.4,01/05/2026
CP01185,GB,150.4,"Chocolate, cocoa and cocoa-based food products (ND)",100.5,131.1,01/05/2026
CP01185,LU,157.11,"Chocolate, cocoa and cocoa-based food products (ND)",108.11,0.7,01/05/2026
CP01185,IS,180.59,"Chocolate, cocoa and cocoa-based food products (ND)",96.42,0.7,01/05/2026
CP01183,GB,161,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",97,131.1,01/05/2026
CP01183,SK,145.69,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",105.69,20,01/05/2026
CP01183,SI,132.6,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",104.8,9.4,01/05/2026
CP01183,SE,169.1,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",105.16,33.9,01/05/2026
CP01183,RO,156.85,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",103.18,46.6,01/05/2026
CP01183,PT,129.73,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",96.52,24.8,01/05/2026
CP01183,PL,158.08,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",106.32,141.6,01/05/2026
CP01183,NL,140.83,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",97.58,62.3,01/05/2026
CP01183,MT,117.09,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",105.13,2.4,01/05/2026
CP01183,MK,157.75,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",108.76,6.5,01/05/2026
CP01183,LV,157.81,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",111.29,4.8,01/05/2026
CP01183,LT,138.29,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",112.44,6.9,01/05/2026
CP01183,IT,121.9,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",100.8,140.9,01/05/2026
CP01183,IE,87.53,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",97.57,12.2,01/05/2026
CP01183,HU,173.07,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",99.34,19.7,01/05/2026
CP01183,HR,135.42,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",103.5,12.2,01/05/2026
CP01183,FR,127.85,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",101.21,210.4,01/05/2026
CP01183,FI,129.74,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",99.25,17.1,01/05/2026
CP01183,ES,140.7,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",101.02,102.4,01/05/2026
CP01183,EL,115.28,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",99.84,24.1,01/05/2026
CP01183,EE,158.84,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",106.38,5.4,01/05/2026
CP01183,DK,138.96,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",108.85,20.8,01/05/2026
CP01183,DE,127.94,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",102.04,244.7,01/05/2026
CP01183,CZ,130.91,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",100.25,40.5,01/05/2026
CP01183,CY,98.74,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",98.28,2.5,01/05/2026
CP01183,CH,102.23,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",87.47,25.7,01/05/2026
CP01183,BG,166.52,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",102.58,22.2,01/05/2026
CP01183,BE,145.95,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",101.1,50.8,01/05/2026
CP01183,AT,128.7,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",108.65,27.8,01/05/2026
CP01183,IS,122.52,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",93.68,0.7,01/05/2026
CP01183,LU,139.86,"Jams, marmalades, fruit jellies, purées and pastes, and honey (ND)",104.06,0.7,01/05/2026
CP0118,LU,144.16,"Sugar, confectionery and desserts (ND)",106.71,0.7,01/05/2026
CP0118,IS,157.71,"Sugar, confectionery and desserts (ND)",100.04,0.7,01/05/2026
CP0118,GB,155,"Sugar, confectionery and desserts (ND)",99.3,131.1,01/05/2026
CP0118,SK,160.67,"Sugar, confectionery and desserts (ND)",106.4,20,01/05/2026
CP0118,SI,127.25,"Sugar, confectionery and desserts (ND)",102.28,9.4,01/05/2026
CP0118,SE,144.56,"Sugar, confectionery and desserts (ND)",101.46,33.9,01/05/2026
CP0118,RO,188.99,"Sugar, confectionery and desserts (ND)",102.34,46.6,01/05/2026
CP0118,PT,134.67,"Sugar, confectionery and desserts (ND)",100.7,24.8,01/05/2026
CP0118,PL,186.57,"Sugar, confectionery and desserts (ND)",107.77,141.6,01/05/2026
CP0118,NL,142.62,"Sugar, confectionery and desserts (ND)",99.38,62.3,01/05/2026
CP0118,MT,169.59,"Sugar, confectionery and desserts (ND)",103.75,2.4,01/05/2026
CP0118,MK,166.47,"Sugar, confectionery and desserts (ND)",106.85,6.5,01/05/2026
CP0118,LV,173.91,"Sugar, confectionery and desserts (ND)",106.99,4.8,01/05/2026
CP0118,LT,164.16,"Sugar, confectionery and desserts (ND)",105.32,6.9,01/05/2026
CP0118,IT,128.1,"Sugar, confectionery and desserts (ND)",100.1,140.9,01/05/2026
CP0118,IE,109.07,"Sugar, confectionery and desserts (ND)",92.57,12.2,01/05/2026
CP0118,HU,202.56,"Sugar, confectionery and desserts (ND)",107.88,19.7,01/05/2026
CP0118,FR,134.74,"Sugar, confectionery and desserts (ND)",100.66,210.4,01/05/2026
CP0118,FI,123.86,"Sugar, confectionery and desserts (ND)",89.66,17.1,01/05/2026
CP0118,ES,153.3,"Sugar, confectionery and desserts (ND)",101.06,102.4,01/05/2026
CP0118,EE,195.15,"Sugar, confectionery and desserts (ND)",109.33,5.4,01/05/2026
CP0118,DK,136.03,"Sugar, confectionery and desserts (ND)",102.59,20.8,01/05/2026
CP0118,DE,153.26,"Sugar, confectionery and desserts (ND)",100.97,244.7,01/05/2026
CP0118,CZ,159.64,"Sugar, confectionery and desserts (ND)",105.89,40.5,01/05/2026
CP0118,CY,129.32,"Sugar, confectionery and desserts (ND)",100.75,2.5,01/05/2026
CP0118,CH,115.04,"Sugar, confectionery and desserts (ND)",98.97,25.7,01/05/2026
CP0118,BG,180.63,"Sugar, confectionery and desserts (ND)",108.19,22.2,01/05/2026
CP0118,BE,143.71,"Sugar, confectionery and desserts (ND)",99.74,50.8,01/05/2026
CP0118,AT,138.23,"Sugar, confectionery and desserts (ND)",102.23,27.8,01/05/2026
CP0118,HR,155.8,"Sugar, confectionery and desserts (ND)",102.85,12.2,01/05/2026
CP0118,EL,127.85,"Sugar, confectionery and desserts (ND)",102.85,24.1,01/05/2026
CP01186,LV,174.57,"Ice, ice cream and sorbets (ND)",101.74,4.8,01/05/2026
CP01186,SI,117.48,"Ice, ice cream and sorbets (ND)",101.74,9.4,01/05/2026
CP01186,AT,127.29,"Ice, ice cream and sorbets (ND)",100.79,27.8,01/05/2026
CP01186,BE,134.97,"Ice, ice cream and sorbets (ND)",100.82,50.8,01/05/2026
CP01186,BG,161.48,"Ice, ice cream and sorbets (ND)",102.13,22.2,01/05/2026
CP01186,CH,105.59,"Ice, ice cream and sorbets (ND)",101.38,25.7,01/05/2026
CP01186,CY,123.55,"Ice, ice cream and sorbets (ND)",97.61,2.5,01/05/2026
CP01186,CZ,130.97,"Ice, ice cream and sorbets (ND)",103.75,40.5,01/05/2026
CP01186,DE,132.15,"Ice, ice cream and sorbets (ND)",99.43,244.7,01/05/2026
CP01186,DK,127.76,"Ice, ice cream and sorbets (ND)",103.76,20.8,01/05/2026
CP01186,EE,163.44,"Ice, ice cream and sorbets (ND)",101.77,5.4,01/05/2026
CP01186,EL,112.06,"Ice, ice cream and sorbets (ND)",102.09,24.1,01/05/2026
CP01186,ES,135.81,"Ice, ice cream and sorbets (ND)",98.64,102.4,01/05/2026
CP01186,FI,109.09,"Ice, ice cream and sorbets (ND)",85.78,17.1,01/05/2026
CP01186,FR,120.45,"Ice, ice cream and sorbets (ND)",100.41,210.4,01/05/2026
CP01186,HR,167.82,"Ice, ice cream and sorbets (ND)",100.53,12.2,01/05/2026
