STAT_REGIME,STAT_R_DESCRIPTION,CUSTOMS_R
0,NOT KNOWN,NOT KNOWN
1,NORMAL,NORMAL
2,INWARD PROCESSING,IPR_ETC
3,OUTWARD PROCESSING,IPR_ETC
4,NOT KNOWN,NOT KNOWN
5,INWARD PROCESSING (SUSPENSION),IPR_ETC
6,INWARD PROCESSING (DRAWBACK),IPR_ETC
7,ECONOMIC PROCESSING ARRANGEMENTS FOR TEXTILES,IPR_ETC
8,NOT KNOWN,NOT KNOWN
9,NOT RECORDED FROM CUSTOMS DECLARATIONS,NOT KNOWN
10,NOT KNOWN,NOT KNOWN
