LAST UPDATE,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,coicop_description,hicp_201710.OBS_VALUE
18/08/2023 11:00,I05,CP00,AT,01/10/2011,114.35,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/11/2011,114.43,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/12/2011,114.7,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/01/2012,114.07,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/02/2012,114.68,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/03/2012,116.1,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/04/2012,116.43,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/05/2012,116.19,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/06/2012,116.18,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/07/2012,115.59,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/08/2012,116.01,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/09/2012,117.32,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/10/2012,117.68,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/11/2012,117.76,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/12/2012,118.05,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/01/2013,117.3,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/02/2013,117.7,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/03/2013,118.84,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/04/2013,118.85,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/05/2013,119,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/06/2013,118.79,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/07/2013,118.04,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/08/2013,118.31,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/09/2013,119.45,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/10/2013,119.44,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/11/2013,119.48,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/12/2013,120.39,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/01/2014,119.09,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/02/2014,119.44,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/03/2014,120.56,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/04/2014,120.71,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/05/2014,120.83,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/06/2014,120.81,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/07/2014,120.02,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/08/2014,120.04,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/09/2014,121.13,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/10/2014,121.14,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/11/2014,121.31,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/12/2014,121.36,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/01/2015,119.66,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/02/2015,119.99,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/03/2015,121.68,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/04/2015,121.84,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/05/2015,122.05,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/06/2015,122,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/07/2015,121.37,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/08/2015,121.17,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/09/2015,121.82,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/10/2015,121.94,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/11/2015,121.9,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/12/2015,122.66,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/01/2016,121.32,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/02/2016,121.22,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/03/2016,122.5,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/04/2016,122.64,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/05/2016,122.77,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/06/2016,122.78,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/07/2016,122.11,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/08/2016,121.9,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/09/2016,123.13,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/10/2016,123.6,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/11/2016,123.69,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/12/2016,124.6,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/01/2017,123.83,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/02/2017,124.1,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/03/2017,125.08,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/04/2017,125.48,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/05/2017,125.41,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/06/2017,125.22,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/07/2017,124.5,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/08/2017,124.5,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/09/2017,126.25,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/10/2017,126.51,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/11/2017,126.7,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/12/2017,127.51,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/01/2018,126.19,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/02/2018,126.51,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/03/2018,127.65,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/04/2018,127.93,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/05/2018,128.07,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/06/2018,128.14,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/07/2018,127.38,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/08/2018,127.37,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/09/2018,128.93,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/10/2018,129.55,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/11/2018,129.57,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/12/2018,129.69,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/01/2019,128.33,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/02/2019,128.32,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/03/2019,129.78,All-items HICP,126.51
18/08/2023 11:00,I05,CP00,AT,01/04/2019,130.16,All-items HICP,126.51
