Easting,Northing,Factory,Owner,Country,Group,MegaGroup,Beet processing factory,Isoglucose factory,Factory with cane refining capacity,Beet ethanol factory,Certified organic,Liquid sugar only,Sugar cane mill
16.40269513,52.31479325,Opalenica,Nordzucker Polska,Poland,Nordzucker,Nordzucker,1,0,0,0,0,0,0
17.86986538,49.96155287,Opava,Moravskoslezske Cukrovary,Czech Republic,Agrana,Suedzucker,1,0,0,0,0,0,0
21.90566342,47.07625363,Oradea,P&L Oradea,Romania,Pfeifer & Langen,Pfeifer & Langen,0,0,1,0,0,0,0
26.53428342,41.47432199,Orestias,HSI,Greece,HSI,Others,1,0,0,0,0,0,0
3.480133616,49.83635317,Origny,Tereos,France,Tereos,Tereos,1,0,0,1,0,0,0
13.25769669,55.78304473,Örtofta,Nordic Sugar Sweden,Sweden,Nordzucker,Nordzucker,1,0,0,0,0,0,0
18.72576835,45.55034091,Osijek,Kandit Premijer,Croatia,Kandit Premijer,Others,1,0,1,0,0,0,0
19.95092349,44.88742533,Pecinci,Sunoko,Serbia,Others,Others,1,0,1,0,0,0,0
-4.117669983,41.60645399,Penafiel,Ebro,Spain,Ebro,AB Sugar,1,0,0,0,0,0,0
2.253097281,48.17214215,Pithiviers,Vermandoise,France,CristalCo,CristalCo,1,0,0,0,0,0,0
12.88237141,48.7870857,Plattling,Sudzucker,Germany,Suedzucker,Suedzucker,1,0,0,0,0,0,0
22.52793399,40.65812187,Platy,HSI,Greece,HSI,Others,1,0,0,0,0,0,0
24.722618,42.167313,Plovdiv,Zaharni Zavodi,Bulgaria,Zaharni Zavodi,Others,0,0,1,0,0,0,0
12.03447804,45.2455498,Pontelongo,CoProB,Italy,Pfeifer & Langen,Pfeifer & Langen,1,0,0,0,0,0,0
24.35037261,60.09163582,Porkkala,Sucros OY,Finland,Nordzucker,Nordzucker,0,0,1,0,0,0,0
-8.645851998,41.17268013,Porto,RAR,Portugal,RAR,Others,0,0,1,0,0,0,0
15.68850631,50.56934459,Prosenice,HPS,Czech Republic,HPS,Others,1,0,0,0,0,0,0
10.92033541,48.69122849,Rain,Sudzucker,Germany,Suedzucker,Suedzucker,1,0,0,0,0,0,0
26.54688463,43.52023402,Razgrad,T&L Bulgaria,Bulgaria,T&L,Others,1,1,0,0,0,0,0
26.91255812,46.94079034,Roman,Agrana Romania,Romania,Agrana,Suedzucker,1,0,1,0,0,0,0
21.75905996,50.06278064,Ropczyce,Sudzucker Polska,Poland,Suedzucker,Suedzucker,1,0,0,0,0,0,0
