FLOW,FLOW_TYPE,FLOW_SUB_TYPE
1,IMPORT,IMPORT
2,EXPORT,EXPORT
3,PRODUCTION,PRODUCTION
4,CONSUMPTION,CONSUMPTION
5,STOCKS,STOCKS
6,IMPORT,MFN
7,IMPORT,PREFERENTIAL
8,IMPORT,TRQ
9,USQ,USQ
